STATION;LAT;LON;DATE;PRCP;TAVG
HORTA AZORES;38.52;-28.63;2020-04-06;0.5;16.4
HORTA AZORES;38.52;-28.63;2020-04-07;13.0;17.3
HORTA AZORES;38.52;-28.63;2020-04-08;4.1;16.8
HORTA AZORES;38.52;-28.63;2020-04-09;0.0;15.8
HORTA AZORES;38.52;-28.63;2020-04-10;0.0;16.6
HORTA AZORES;38.52;-28.63;2020-04-11;0.0;16.3
HORTA AZORES;38.52;-28.63;2020-04-12;0.0;16.0
HORTA AZORES;38.52;-28.63;2020-04-13;0.0;16.0
HORTA AZORES;38.52;-28.63;2020-04-14;0.3;13.2
HORTA AZORES;38.52;-28.63;2020-04-15;7.9;12.1
HORTA AZORES;38.52;-28.63;2020-04-16;2.0;14.1
HORTA AZORES;38.52;-28.63;2020-04-17;0.0;15.4
HORTA AZORES;38.52;-28.63;2020-04-18;0.5;16.7
HORTA AZORES;38.52;-28.63;2020-04-19;4.1;14.7
HORTA AZORES;38.52;-28.63;2020-04-20;0.5;14.7
HORTA AZORES;38.52;-28.63;2020-04-21;10.9;16.7
HORTA AZORES;38.52;-28.63;2020-04-22;0.0;15.5
HORTA AZORES;38.52;-28.63;2020-04-23;0.0;15.9
HORTA AZORES;38.52;-28.63;2020-04-24;0.0;15.9
HORTA AZORES;38.52;-28.63;2020-04-25;3.0;16.1
HORTA AZORES;38.52;-28.63;2020-04-26;2.0;14.3
HORTA AZORES;38.52;-28.63;2020-04-27;0.0;14.9
HORTA AZORES;38.52;-28.63;2020-04-28;2.0;14.4
HORTA AZORES;38.52;-28.63;2020-04-29;0.0;16.2
HORTA AZORES;38.52;-28.63;2020-04-30;0.5;17.8
HORTA AZORES;38.52;-28.63;2020-05-01;10.9;17.2
HORTA AZORES;38.52;-28.63;2020-05-02;2.0;15.3
HORTA AZORES;38.52;-28.63;2020-05-03;0.0;14.0
HORTA AZORES;38.52;-28.63;2020-05-04;10.9;16.1
HORTA AZORES;38.52;-28.63;2020-05-05;2.0;15.8
HORTA AZORES;38.52;-28.63;2020-05-06;6.1;16.9
HORTA AZORES;38.52;-28.63;2020-05-07;0.0;16.8
HORTA AZORES;38.52;-28.63;2020-05-08;4.1;15.9
HORTA AZORES;38.52;-28.63;2020-05-09;7.1;16.8
HORTA AZORES;38.52;-28.63;2020-05-10;1.0;15.8
HORTA AZORES;38.52;-28.63;2020-05-11;0.0;15.4
HORTA AZORES;38.52;-28.63;2020-05-12;0.5;15.6
HORTA AZORES;38.52;-28.63;2020-05-13;0.5;14.8
HORTA AZORES;38.52;-28.63;2020-05-14;0.0;14.5
HORTA AZORES;38.52;-28.63;2020-05-15;3.0;16.9
HORTA AZORES;38.52;-28.63;2020-05-16;0.0;17.4
HORTA AZORES;38.52;-28.63;2020-05-17;0.3;17.2
HORTA AZORES;38.52;-28.63;2020-05-18;0.0;17.6
HORTA AZORES;38.52;-28.63;2020-05-19;5.1;16.9
HORTA AZORES;38.52;-28.63;2020-05-20;0.0;16.2
HORTA AZORES;38.52;-28.63;2020-05-21;5.1;16.3
HORTA AZORES;38.52;-28.63;2020-05-22;2.0;14.6
HORTA AZORES;38.52;-28.63;2020-05-23;7.1;17.0
HORTA AZORES;38.52;-28.63;2020-05-24;0.3;18.2
HORTA AZORES;38.52;-28.63;2020-05-25;0.0;18.7
HORTA AZORES;38.52;-28.63;2020-05-26;0.0;19.0
HORTA AZORES;38.52;-28.63;2020-05-27;0.0;17.2
HORTA AZORES;38.52;-28.63;2020-05-28;0.0;15.9
HORTA AZORES;38.52;-28.63;2020-05-29;0.0;16.3
HORTA AZORES;38.52;-28.63;2020-05-30;10.9;17.3
HORTA AZORES;38.52;-28.63;2020-05-31;2.0;17.2
HORTA AZORES;38.52;-28.63;2020-06-01;0.0;16.4
HORTA AZORES;38.52;-28.63;2020-06-02;2.0;15.1
HORTA AZORES;38.52;-28.63;2020-06-03;7.9;16.3
HORTA AZORES;38.52;-28.63;2020-06-04;0.0;16.7
HORTA AZORES;38.52;-28.63;2020-06-05;0.0;17.1
HORTA AZORES;38.52;-28.63;2020-06-06;0.0;17.4
HORTA AZORES;38.52;-28.63;2020-06-07;0.0;17.5
HORTA AZORES;38.52;-28.63;2020-06-08;0.0;17.3
HORTA AZORES;38.52;-28.63;2020-06-09;0.0;18.2
HORTA AZORES;38.52;-28.63;2020-06-10;0.0;17.8
HORTA AZORES;38.52;-28.63;2020-06-11;0.0;17.9
HORTA AZORES;38.52;-28.63;2020-06-12;0.0;17.6
HORTA AZORES;38.52;-28.63;2020-06-13;5.1;16.1
HORTA AZORES;38.52;-28.63;2020-06-14;7.9;15.8
HORTA AZORES;38.52;-28.63;2020-06-15;0.8;17.1
HORTA AZORES;38.52;-28.63;2020-06-16;0.3;18.2
HORTA AZORES;38.52;-28.63;2020-06-17;1.0;18.0
HORTA AZORES;38.52;-28.63;2020-06-18;0.0;17.6
HORTA AZORES;38.52;-28.63;2020-06-19;0.0;18.3
HORTA AZORES;38.52;-28.63;2020-06-20;0.0;19.1
HORTA AZORES;38.52;-28.63;2020-06-21;0.0;19.4
HORTA AZORES;38.52;-28.63;2020-06-22;0.0;18.9
HORTA AZORES;38.52;-28.63;2020-06-23;0.0;17.6
HORTA AZORES;38.52;-28.63;2020-06-24;0.0;17.6
HORTA AZORES;38.52;-28.63;2020-06-25;0.0;18.7
HORTA AZORES;38.52;-28.63;2020-06-26;0.0;20.6
HORTA AZORES;38.52;-28.63;2020-06-27;0.0;20.8
HORTA AZORES;38.52;-28.63;2020-06-28;0.5;20.4
HORTA AZORES;38.52;-28.63;2020-06-29;0.0;20.9
HORTA AZORES;38.52;-28.63;2020-06-30;0.0;21.3
HORTA AZORES;38.52;-28.63;2020-07-01;0.8;19.4
HORTA AZORES;38.52;-28.63;2020-07-02;0.0;19.7
HORTA AZORES;38.52;-28.63;2020-07-03;0.0;20.4
HORTA AZORES;38.52;-28.63;2020-07-04;0.0;20.8
HORTA AZORES;38.52;-28.63;2020-07-05;0.0;21.2
HORTA AZORES;38.52;-28.63;2020-07-06;0.0;21.7
HORTA AZORES;38.52;-28.63;2020-07-07;0.0;21.8
HORTA AZORES;38.52;-28.63;2020-07-08;0.8;20.6
HORTA AZORES;38.52;-28.63;2020-07-09;0.0;21.2
HORTA AZORES;38.52;-28.63;2020-07-10;0.0;20.9
HORTA AZORES;38.52;-28.63;2020-07-11;0.0;21.0
